Offence type, Number of Offences, 2010-11, Break
Offence, Violent disorder,332, Break
Offence, Public disorder,1076, Break
Offence, Throwing missiles,64, Break
Offence, Racist and indecent chanting,44, Break
Offence, Pitch incursion,240, Break
Offence, Alcohol offences,1041, Break
Offence, Ticket touting,102, Break
Offence, Possession of an offensive weapon,38, Break
Offence, Possession of pyrotechnics,8, Break
Offence, Breach of banning order,74, Break
Offence, Criminal damage/Offences against the property,70, Break
