Season,Competition,Arrests,Attendance,Arrests per 100,000 attendees					
2014-15,*Total,1,837,37500000,4.9,Break
2014-15,Premier League,580,13700000,4.2,Break
2014-15,Championship, 538, 9800000, 5.5, Break
2014-15,League One,	218,3900000	,5.6	,Break
2014-15,League Two,	158,2600000	,6.1	,Break
2014-15,National League (National Division),	76,	1000000,	7.4,Break
2014-15,FA Cup	,146,2100000,	7	,Break
2014-15,League Cup, 50,	1300000	,3.9,	Break
2014-15,Football League Trophy,	4	,220000,	1.8,	Break
2014-15,European competitions	,38,	2200000	,1.8,	Break
2014-15,Internationals,	29,	650000,	4.5,	Break
2015-16, *Total	,1865	,39100000	,4.8	,Break
2015-16,Premier League,	431,	13900000	,3.1	,Break
2015-16,Championship,	470	,9700000,	4.8	,Break
2015-16,League One,	263,	4000000,	6.6,	Break
2015-16,League Two,	207	,2700000,	7.7	,Break
2015-16,National League (National Division)	,61,	1100000,	5.8	,Break
2015-16,FA Cup	,156	,2100000	,7.4	,Break
2015-16,League Cup	,116	,1400000,	8.1,	Break
2015-16,Football League Trophy,	25,	210000	,11.7	,Break
2015-16,European competitions	,61	,2900000,	2.1	,Break
2015-16,Internationals,	75,	1200000	,6.4,	Break
2016-17,*Total	1,577	,39900000,	4	,Break
2016-17,Premier League	,389	13600000	2.9	,Break
2016-17,Championship,	455	11100000	4.1	,Break
2016-17,League One	,260	,4400000,	5.9,	Break
2016-17,League Two	,184	,2600000	,7.1,	Break
2016-17,National League (National Division)	,33,	1000000,	3.3,	Break
2016-17,FA Cup	,121,	2000000,	6.1,	Break
2016-17,League Cup,	45,	1500000	,3,	Break
2016-17,Football League Trophy,	10,	300000	,3.3,	Break
2016-17,European competitions,	58,	2700000,	2.1,	Break
2016-17,Internationals,	22,	800000,	2.8,	Break
2017-18,*Total,	1485,	42000000,	3.5,	Break
2017-18,Premier League,	288,	14600000,	2,	Break
2017-18,Championship,	530,	11300000,	4.7,	Break
2017-18,League One,	195,	4300000,	4.5,	Break
2017-18,League Two	,214	,2500000,	8.6,	Break
2017-18,National League (National Division),	39,	1100000,	3.5,	Break
2017-18,FA Cup,	89,	1900000,	4.7,	Break
2017-18,League Cup,	55,	1500000,	3.7,	Break
2017-18,Football League Trophy,	4,	200000	2,	Break
2017-18,European competitions,	41,	3300000,	1.2, Break
2017-18,Internationals,	30,	1300000, 2.3, Break
